case_number,category_1,category_2,category_3,granular_cluster_id,parent_cluster_id
9994685,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9994690,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,7,1
9994696,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",9,1
9994699,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,13,1
9994718,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9994735,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9999305,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9994752,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,1,1
9994753,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9994757,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9994779,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9994787,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9994792,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,7,1
9994799,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",4,1
9994804,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,13,1
9994809,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Non-SSG Enquiries,7,1
9994813,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",13,1
9994819,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9994826,Employment Assistance and Career Services,Career Advisory and Coaching,Career Health Check,9,1
9994832,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9994835,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
9994839,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Invoice and Billing Matters,9,1
9994848,"Training Programmes, Training Systems and Advisory Services",SkillsFuture Work-Study Programme (WSP),"Guidelines, Processes and Timeline - Application",9,1
9994865,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,13,1
9994878,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,9,1
9994879,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,10,1
9994895,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,1,1
9994904,WSG Programmes and Initiatives,Career Trial,Processes - Training Allowance Claim,4,1
9994917,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Purpose and Objective - Absentee Payroll (AP),9,1
9994932,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - e-Cert,4,1
9994953,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Enterprise Credit (SFEC),Requests - Claims status,7,1
9994956,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9994966,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9994967,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9994994,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9996350,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9995041,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9995050,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9995053,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,7,1
9995058,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Invoice and Billing Matters,12,1
9995060,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9995069,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9995089,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,3,1
9995102,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9995106,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
10004760,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9995126,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9995130,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,3,1
9995143,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",11,1
9995147,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995148,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9995161,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - Skills Passport,8,1
9995162,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995165,Employment Assistance and Career Services,Career Advisory and Coaching,Career Services - Others,6,1
9995183,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for SME Funding,5,1
9995188,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Non-SSG Enquiries,7,1
9995189,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9995215,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995258,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9995271,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9995275,"Grants, Awards and Funding Programmes or Systems",TPGateway - MAS-IBF,"Guidelines, Processes and Timeline - Course Registration",3,1
9995276,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Non-WSG Enquiries,5,1
9995277,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9995283,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9995284,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995289,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9995290,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9995292,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Non-SSG Enquiries,11,1
9995297,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",1,1
9995319,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9997786,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9999966,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9995325,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9997361,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9997694,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9997872,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9999637,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9995333,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9995338,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Invoice and Billing Matters,4,1
9995339,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9995341,Employment Assistance and Career Services,Workshops and Career Fairs,Programme Information,4,1
9995343,"Grants, Awards and Funding Programmes or Systems",TPGateway - MAS-IBF,"Guidelines, Processes and Timeline - Course Runs and Sessions",11,1
9995348,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,7,1
9995350,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9995357,WSG Programmes and Initiatives,Career Trial,Processes - Training Allowance Claim,1,1
9995358,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,12,1
9995365,WSG Programmes and Initiatives,Career Conversion Programme,InfoComm Technology,10,1
9995388,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9995392,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Appeal - whitelisted standalone exams/overseas courses - GRS,1,1
9995399,WSG Programmes and Initiatives,Career Trial,Processes - Application for Host Organisations,3,1
9995404,WSG Programmes and Initiatives,Career Trial,Processes - Application for Host Organisations,1,1
9995413,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995419,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9995420,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9995424,Divisional Matters,SSG Divisional Matters,Industry Development Division 2 (IDD2) - Others,10,1
9995427,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,1,1
9995429,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9995431,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9995433,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995437,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,7,1
9995442,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9995460,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9995464,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9995467,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9995480,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,2,1
9995496,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,3,1
9995504,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,1,1
9995506,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Others,4,1
9995509,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,2,1
9995515,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9995521,Employment Assistance and Career Services,Career Advisory and Coaching,Careers Connect,4,1
9995523,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9995529,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,Purpose and Objective,13,1
9995534,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",1,1
9995547,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,5,1
9995553,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,5,1
9995570,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995589,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Request - Status of Absentee Payroll (AP) Submission,10,1
9995594,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,3,1
9995600,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,4,1
9995613,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995615,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9995624,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),Requests - Claim status,6,1
9995625,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - e-Cert,11,1
9995628,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",5,1
9995631,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9995636,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Search,9,1
9995641,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9995671,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9995674,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,2,1
9995697,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,11,1
9995708,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,"Guidelines, Processes and Timeline - Submit AP on Enterprise Portal for Jobs & Skills",13,1
9995718,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,10,1
9995722,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996173,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995725,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,7,1
9995736,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,3,1
9995746,"Grants, Awards and Funding Programmes or Systems",Absentee Payroll (AP) Funding,Purpose and Objective,13,1
9995759,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9995767,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9995965,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9995768,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9995774,WSG Programmes and Initiatives,Workfare Skills Support,Training Allowance Claim Status,1,1
9995784,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9995793,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9995794,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9995812,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9995822,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,9,1
9995826,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995833,WSG Programmes and Initiatives,Workfare Skills Support,Eligibility Criteria - Workfare Skill Support,1,1
9995836,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9995843,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9995848,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Organisation Registration",9,1
9995857,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9995862,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9996244,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9995864,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Technical Support,8,1
9995867,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9995868,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,10,1
9995871,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9995872,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9995874,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,12,1
9995875,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,2,1
9995877,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,3,1
9995878,WSG Programmes and Initiatives,Career Conversion Programme,Healthcare and Social Services,4,1
9995885,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9995890,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9995891,Regulations,Skills Development Levy (SDL),Refund,11,1
9995898,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9995899,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9995900,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9995903,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9995904,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9995913,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,5,1
9995915,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment - Booking/Reschedule/Cancellation,11,1
9995917,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9995925,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9995934,WSG Programmes and Initiatives,Career Trial,Eligibility Criteria,9,1
9995937,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9997019,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9997491,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9995942,Regulations,Skills Development Levy (SDL),Payment,10,1
9995951,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9995961,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9995971,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Grant,13,1
9995972,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Credit (SFC),"Guidelines, Processes and timeline - Submit Claims",10,1
9995980,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9995991,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9998532,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9999320,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9999354,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9995993,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Technical Support,5,1
9995996,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,"Guidelines, Processes and Timeline - Course Runs and Sessions",6,1
9996003,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9996006,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,6,1
9996011,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,"Guidelines, Processes and Timeline - Submit Absentee Payroll (AP)",8,1
9996013,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9996014,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,4,1
9996019,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9996020,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9996021,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9996025,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9996029,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9996032,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9996036,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9996046,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,1,1
9996062,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,5,1
9996069,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9996075,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,10,1
9996078,WSG Programmes and Initiatives,Career Conversion Programme,Healthcare and Social Services,11,1
9996080,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,8,1
9996081,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996083,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Non-WSG Enquiries,11,1
9996091,"Grants, Awards and Funding Programmes or Systems",Enhanced Training Support for SMEs (ETSS),"Guidelines, Processes and Timeline",9,1
9996098,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,"Guidelines, Processes and Timeline - OpenCerts",2,1
9996103,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Technical Support,Technical Support,2,1
9996110,Regulations,CPE & Private Education Act/ Institutions,Eligibility Criteria - Enhanced Registration Framework (ERF),9,1
9996111,Divisional Matters,WSG Divisional Matters,One Call Centre (OCC) - Non-WSG Enquiries,5,1
9996125,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996240,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996263,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996318,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996333,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996129,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9996131,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9996134,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9998995,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9999913,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996159,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,10,1
9996167,"Grants, Awards and Funding Programmes or Systems",SkillsFuture Mid-career Enhanced Subsidy (MCES),Eligibility Criteria,13,1
9996184,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996521,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9999226,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Invoice and Billing Matters,1,1
9999241,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Invoice and Billing Matters,1,1
9999485,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Invoice and Billing Matters,1,1
9996185,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9996202,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,Technical Support - System related enquiries,11,1
9996211,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9996212,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,13,1
9996216,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
10001072,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9996221,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9996223,Employment Assistance and Career Services,Career Advisory and Coaching,Careers Connect,1,1
9996228,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9996230,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996233,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9996237,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,13,1
9996238,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9996241,Divisional Matters,SSG Divisional Matters,Regulation Division (RD) - Others,6,1
9996243,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9996247,Regulations,Skills Development Levy (SDL),Payment,1,1
9996269,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Postings,1,1
9996277,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9997538,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996281,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9996292,Employment Assistance and Career Services,Career Advisory and Coaching,Appointment - Booking/Reschedule/Cancellation,4,1
9996301,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,9,1
9996306,"Grants, Awards and Funding Programmes or Systems",TPGateway - SSG,Requests - Edit Backdated Course Runs and Sessions,3,1
9996308,Divisional Matters,SSG Divisional Matters,Resource Planning Division (RPD) - Others,1,1
9996309,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,2,1
9996311,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,9,1
9996316,Divisional Matters,SSG Divisional Matters,One Call Centre (OCC) - Others,11,1
9996323,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9996331,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,"Guidelines, Processes and Timeline - Submit Absentee Payroll (AP)",1,1
9996363,"Training Programmes, Training Systems and Advisory Services",SkillsFuture Work-Study Programme (WSP),Programme Specific Enquiries - IDD1,13,1
9996372,"Training Programmes, Training Systems and Advisory Services",Enterprise Portal for Jobs & Skills,Appeal for Absentee Payroll (AP) funding,13,1
9996379,WSG Programmes and Initiatives,MyCareersFuture,Guidelines - Job Postings,9,1
9996382,WSG Programmes and Initiatives,SGUnited Mid-Career Pathways Programme,Programme Information,13,1
9996392,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,1,1
9996399,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - Appeal,Appeal,5,1
9996400,Regulations,Skills Development Levy (SDL),Payment,4,1
9996404,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,3,1
9996413,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Technical Support - General,12,1
9996415,"Training Programmes, Training Systems and Advisory Services",MySkillsFuture Portal,Purpose and Objective - Course Search,3,1
9996416,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,10,1
9996418,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,4,1
9996423,"Training Programmes, Training Systems and Advisory Services",Training Quality And Outcomes Measurement (TRAQOM) Initiative,Purpose and Objective,1,1
9996429,Divisional Matters,SSG Divisional Matters,SSG Corporate Services Division (CSVD) - Invoice and Billing Matters,12,1
9996435,Divisional Matters,SSG Divisional Matters,Levy and Incentive Management (LIMD) - Others,11,1
9996446,"Grants, Awards and Funding Programmes or Systems",SingPass e-attendance - General Queries,General Queries,3,1
9996447,"Training Programmes, Training Systems and Advisory Services",Course Applications,"Requests - Feedback on quality about courses, trainer or assessor",12,1
