subject,case_number
Customer,10006813
Customer,10006885
Extension request,10006885
Trainee,10006904
Trainee status,10006904
SkillsFuture Singapore fund,10007062
Customer,10007062
Payment,10007098
Status,10007098
Request,10007098
Participant,10007271
Customer,10007288
Payment,10007503
Requester,10007503
Customer,10007513
Details,10007592
Vendor,10007592
Training Provider Gateway course integration,10007592
Skills Development Levy payment,10007622
Customer,10007622
Customer,10007627
Course mates,10007627
Customer's foreign employees,10007673
Customer,10007673
Customer,10007728
Customer,10007754
Customer's case,10007754
Attendance uploading,10007861
Requester,10007861
Course run,10008101
Deletion of course run,10008101
Appeal,10008101
Candidate's identity,10008144
Candidate,10008144
Customer,10008177
Requester,10008354
Excess grant,10008354
Customer,10008424
Emailing,10008424
Payments,10008539
Company,10008539
Payment,10008554
Besi Singapore Pte Ltd,10008554
Customer,10008666
Customer,10008789
Reminder,10008789
Company,10008789
Employer,10008883
Rejection reason,10008896
Appeal,10008896
Assistance,10008896
Payment,10009090
Customer,10009090
Customer,10009118
Request,10009128
Customer,10009128
Customer,10009226
Customer,10009294
Customer,10009361
Company,10009361
Customer,10009368
Funding status,10009370
Appeal,10009370
Enrollment,10009370
Customer,10009427
Customer,10009430
Customer,10009447
Onsite technical support,10009480
Manual attendance,10009480
Trainee,10009480
Customer,10009490
Customer,10009496
Training provider,10009496
Refund,10009496
Employer,10009555
Records,10009679
Learners,10009679
Request,10009679
Sessions,10009679
Company,10009701
Reason for request,10009714
Request,10009714
Company,10009750
Dashboard records,10009755
Finance team,10009755
WPLN certifications,10009813
Customer,10009813
Customer,10009816
Exemption advice,10009816
Customer,10010150
Reason for request,10010193
Request for records,10010193
Requester,10010193
Skills Development Levy payments,10010265
Customer,10010265
Customer,10010275
Customer,10010298
Courses,10010301
Customer,10010301
Information,10010301
Payment,10010413
Requester,10010413
Customer,10010533
Trainees,10010591
Trainees,10015715
Trainees,10018179
Physical attendance records,10010591
Physical attendance records,10015715
Physical attendance records,10018179
Customer,10010640
Customer,10010673
Customer,10010681
Payment,10010681
Customer,10010685
Resend request,10010759
Reminder letter,10010759
Customer,10010759
Customer,10010834
Customer,10010841
Payment extension request,10010947
Customer,10010947
Customer,10011049
Current Fee Collection Status,10011127
Desired Fee Collection Status,10011127
Fee Collection Status,10011127
Fee Collection Status update,10011127
Issue,10011128
Reason,10011186
Individuals,10011186
Two individuals,10011186
Notice of Objection,10011216
Customer's company,10011216
Customer,10011242
Participant,10011263
Customer,10011268
Customer,10011299
Appointment,10011299
Customer,10011364
Customer,10011448
Customer,10011475
Notice of Objection,10011475
Confirmation of case reference number,10011482
Payment,10011482
Customer,10011482
Customer,10011576
SkillsFuture Singapore funding,10011644
POLWEL Co-operative Society Limited,10011644
Customer,10011703
Reason,10011746
Request,10011746
Course,10011746
Candidate,10011746
Notice of Objection,10011967
Customer,10011967
Trainee,10011969
Customer,10011969
Customer,10011979
Skills Development Levy payment,10011985
Skills Development Levy payment,10011992
Requester,10011985
Requester,10011992
Skills Development Levy,10012066
Notice of Assessment,10012066
Customer,10012066
Customer,10012083
Employer,10012221
Customer,10012221
Reason,10012340
Appeal,10012340
Multiple trainees,10012340
Customer,10012384
Recruitment assistance,10012493
Customer,10012493
Customer,10012500
Cheque,10012500
Customer's claim,10012513
Customer,10012513
Customer,10012639
Course,10012639
Customer,10012696
Assessment status,10012742
Customer,10012742
Processing error,10012769
Inability to scan QR code,10012769
Trainee,10012769
Breakdown of payment,10012822
Payment,10012822
Jurong Port Pte Ltd,10012822
SingPass e-attendance appeal,10012863
Trainee attendance,10012879
Attendance,10012879
Customer,10012879
Courses,10012879
Customer,10013040
Courses,10013040
Inquirer,10013104
Mr. <PERSON>'s name,10013107
Mr. <PERSON>,10013107
e-attendance appeal,10013127
Training Provider Gateway,10013127
Customer,10013130
RSBU PTE LTD,10013230
Customer,10013237
Partial refund form,10013249
Requester,10013249
Reason,10013286
Two learners,10013286
Customer,10013368
Customer,10013402
Customer,10013457
Closed case,10013494
Document submission,10013494
Customer,10013494
Reason,10013495
Appeal,10013495
Manual attendance recording,10013495
Six trainees,10013495
Reason,10013531
Request,10013531
Two trainees,10013531
Customer,10013577
Extension request reason,10013596
Customer,10013596
Customer,10013627
Absentee Payroll disbursements,10013627
Reason,10013743
Trainee,10013743
Change request reason,10013909
Appointment,10013909
Customer,10013909
Customer,10013936
Circular,10013951
Inquiry context,10013951
Training Provider,10013951
Password reset issue,10013983
Participant,10013983
Case,10014102
Customer,10014102
Details,10014139
Customer,10014139
Customer,10014172
Combination of payments,10014172
Customer,10014281
Customer,10014289
Customer,10014331
Customer,10014347
Family business,10014347
SingPass error,10014465
Trainee,10014465
Customer,10014490
Officer in charge,10014490
Participant,10014517
Details requested,10014553
Requester,10014553
Trainee,10014569
Difficulties,10014569
Assistance request,10014569
Reason for appeal,10014737
Learner,10014737
Requester,10014737
Customer,10014950
One learner,10014955
Session,10014955
System bug,10014998
Applications,10014998
Trainee,10015020
Request,10015020
Issues,10015020
Customer,10015056
Recipient,10015057
Company,10015139
Customer,10015251
Notice of Objection,10015251
Payment method,10015278
Customer,10015278
Customer,10015326
Reminder letter,10015326
Customer,10015369
Case,10015390
Context,10015390
Customer,10015456
Callback request,10015503
Customer,10015503
Request reason,10015541
Request,10015541
Received funds,10015541
Phone issues,10015585
No problems,10015585
Participant,10015585
Application process,10015642
Customer,10015642
Issues,10015677
Physical attendance records,10015677
Appeal,10015677
Trainees,10015677
Customer,10015730
Appeal outcome,10015730
Appeal,10015752
Trainee,10015752
Customer,10015799
Receipt,10015819
Customer,10015819
Payment,10015819
Learner,10015886
Proof of error and learner details,10015886
Customer,10015966
Customer,10016010
Breakdown,10016038
Request,10016038
Mandarin-speaking customer,10016078
Customer,10016098
Customer,10016398
Customer,10016425
Customer,10016696
Customer,10016743
Customer,10016946
Second trainee,10017108
First trainee,10017108
Request,10017108
Company logo,10017130
Training provider,10017130
Customer,10017211
Payment reminder,10017211
Customer,10017273
Training provider,10017375
Employer,10017375
Current score,10017397
Submission method,10017397
Request,10017397
Customer,10017506
Additional SkillsFuture Credit,10017506
Customer,10017666
New Course Run ID,10017670
Course run,10017670
Sender,10017670
Students,10017754
Request,10017754
Issue,10017770
Customer,10017770
Cases of non-payment,10018175
Requester,10018175
Customer,10018221
Customer,10018303
Transfer,10018303
Omission of e-attendance,10018522
ITE,10018522
Reason for appeal,10018522
Customer,10018615
Verification,10018615
Learners,10018672
Grant calculator,10018672
Correction,10018672
Customer,10018801
Payments,10018801
Customer,10018802
Email attachment,10018802
Daughter,10018812
Customer,10018812
Customer,10019019
Customer,10019051
Customer Service,10019051
Customer,10019088
Company,10019088
Issue cited,10019265
Location of issue,10019265
Customer,10019265
Course,10019280
Customer,10019280
Chye Thiam Maintenance Pte,10019375
Customer,10019549
Company,10019574
Customer,10019574
Employee,10019574
Customer,10019687
Skills Development Levy payment,10019687
Incoming funds,10019699
Notice,10019699
Participants,10019733
Grants for participants,10019733
HR representative from Sleek,10019968
Beacon International College agent,10020022
Complaint,10020022
Caller,10020022
Reason for appeal,10020142
Assistance,10020142
Appeal,10020142
Customer,10020190
Payment method,10020190
Enhanced Training Support and Absentee Payroll funding,10020203
Customer,10020203
Clarification,10020203
Two individuals,10020291
Reason,10020291
Employer-sponsored trainee,10020344
Customer,10020344
Expedition,10020441
Request,10020441
Details,10020446
Customer,10020446
Request,10020451
Technical glitch,10020451
Customer,10020464
Customer,10020578
Training Provider,10020578
Customer,10020589
Error,10020589
Company,10020619
Payroll,10020619
Customer,10020705
Five participants' attendance records,10020801
Assistance,10020801
Supporting documents,10020801
Intern,10020805
Intern from Prestige Valet,10020805
