subject,predicate,object
Issue,related_to,result uploads and course end date changes
Customer,inquires_about,making Skills Development Levy payments from a personal Paynow account
Skills Development Levy payments,until,corporate account is established
Customer,enquires_about,continued receipt of reminders
Customer,received,Skills Development Levy reminder letter
Customer,lacks,Corporate PayNow
Customer,wants_to_use,Individual PayNow for Skills Development Levy payment
Customer,made_payment_for,Skills Development Levy for YA2023
Customer,received,reminder letter for outstanding Skills Development Levy payment for YA2023
Customer,seeks_assistance_on,payment details
Customer,seeks_clarification_on,computation and payment methods
Clarification sought,via,Central Provident Fund EZPay
Customer,inquires_about_obtaining,Skills Development Levy receipt for payment evidence
Customer,seeks_information_on,where to find Skills Development Levy receipt
Customer,requests_guidance_from,Customer Service Officer
Customer,unable_to_submit,PayNow transfer for SDL2023
Absentee Payroll rejections,accessed_via,Enterprise Jobs and Skills Portal
Customer,intends_to_check,Absentee Payroll rejections
Customer,unable_to_log_in_to,corppass
Customer,queries,reason for reminder
Customer,encountered_issues_with,generating SingPass e-Attendance QR code
SingPass e-Attendance QR code generation,for,today's session
Customer,receives_error_message,no session is available
Portal,displays_details_until,2021
Request,for,detailed breakdown of the Outstanding Skills Development Levy for 2022
Customer,cites_discrepancies_with,their records
Customer,queries,Skills Development Levy amount for YA2023
Foreign director,receives,only director fees
Customer,inquired_about,SkillsFuture Enterprise Credit details
Absentee Payroll funding claims,linked_to,specific courses
Customer,received,rejection email for Absentee Payroll funding claims
Customer,unaware_of,submission requirements
Customer,requests_amendment_to_include,"a salary of $6,000"
Customer,requests_amendment_to_include,44 work hours per week
Customer,submitted,incorrect Absentee Payroll declaration lacking salary and hours
Offsetting request,follows,receipt of Notice of Assessment
Customer,inquires_about,offsetting overpaid Skills Development Levy from 2021 and 2023 against underpaid levy for 2022
Anil,inquires_about,frequency of submitting the Small and Medium Enterprises Declaration
Anil,questions_necessity_of_submission,when there's no change in entity status
Thai Language course,aligns_with,CU-TFL
Additional mid-career support,for_use_in,Thai Language course accredited by top Thailand universities
Customer,inquires_about_usage_of,$500 additional mid-career support
Customer,inquired_about,"schedules for the ""Manage Security Emergencies"" course"
Course,listed_on,MySkillsFuture platform
CLARICE,associated_with,PORTCULLIS TRUST (SINGAPORE) LTD
LCT SkillsFuture Singapore EMP case,involves_contact_details_for,individual named CLARICE
Customer,received_notification_of,grant rejection for trainee RONN PANN via Training Provider Gateway
Learner,completed_course_before,SME declaration approval
Learner,disqualified_from,Enhanced Training Support for SMEs
Disqualification reason,due_to,policy on new enrolments only
Church client SME declaration,status,approved
Customer,claims_non-liability_for,Skills Development Levy
Customer,received,Skills Development Levy assessment notice
Employees,were_on,unpaid leave after joining the company
Customer,inquired_about,funding for the Project Management Professional course
Project Management Professional course,offered_by,National Trades Union Congress
Customer,inquired_about_process_for,objecting to the Skills Development Levy Notice
Customer,requested_specific_details_about,column B input
Request,is_for,expedite a case
Case,status,unresolved for over six months
Customer,attempts_to_submit,SkillsFuture Credit claim through Republic Polytechnic
Attempt,results_in,failure
Customer,seeks_assistance_for,successful submission
Customer with assigned roles in FMS,can_log_in_to,Service Portal
Customer with assigned roles in FMS,cannot_submit_in,Service Portal
Customer,seeks_assistance_to,submit a screenshot of the issue
Follow-up,requested_for,update
Skills Development Levy for 2023,status,paid
Request reason,due_to,language barrier
Mandarin-speaking Customer Service Officer,for,Career Builder services
Mandarin-speaking Customer Service Officer,requested_for,Career Builder services
Customer's Absentee Payroll funding,meets,funding criteria
Customer,requests_urgent_response_for,pending cases since 2020
Customer's Absentee Payroll funding,was_rejected_due_to,unsubmitted declarations
Computation query,concerns,rounding down cents
Customer,wants_to_view_information_for,foreign employees
Requester,awaiting_advice_on,the procedure
Previous overpayment,for,GREAT NUMBERS (SG) INVESTMENT PRIVATE LIMITED
Request,to_offset,outstanding Skills Development Levy with previous overpayment
Customer,received,another reminder notice
Customer,requests_assistance_to_resolve,issue with reminder notice after payment
Notice of Objection form,related_to,Skills Development Levy 2023
Customer,seeks_assistance_with,Notice of Objection form
Mdm,enquired_about,reason for Skills Development Levy payment
Boss,has,two staff members at his stall
Boss,is_required_to_pay,Skills Development Levy
Employer,is_inquiring_about,next steps
Employer,received,rejection email for Absentee Payroll grant
Customer,confirmed_having,PayNow
Customer,received_letter_about,PayNow linked to NRIC for Training Allowance disbursement
Customer,scanned,QR code for notification
Customer,disconnected_immediately_upon,call connection
Action,resulted_in,dropped call
Payment deadline,is_in,Oct-23
Course,starts_in,Jan-24
Customer,received_letter_stating,payment not received from their company
Customer,reports_payment_made_to,Skills Development Levy
Customer,requests,verification
Customer,feels_uncomfortable_filling_out,career health check form
Career health check form,for,upcoming Career Advisory appointment
Skills Development Levy 2023 case,involves,payment issues
Payment issues,related_to,SkillsFuture Singapore
Entity,represented_by,given UEN
Reason,is_due_to,lack of Singpass accounts
Foreign trainees,request,manual attendance confirmation for course completion
Foreign trainees,request,Statement of Attainment issuance
Foreign trainees,unable_to_use,Singpass for e-attendance
Customer's colleague,incorrectly_used,letter reference number instead of the case reference number
Skills Development Levy payment,made_via,bank transfer
Customer,has,the correct Corppass role
Customer,unable_to_log_in,to submit an application for the Work-Study Programme in Media Communication & Digital Marketing
Customer,inquires_reason_for,attendance appeal cases closed without clarification
Attendance appeal cases,related_to,issues with QR code generation for attendance submission
Absentee Payroll funding claim,for,employees in a supervisory training course
Customer,inquires_about,rejection reasons for Absentee Payroll funding claim at zero value
Callback,for,Career Builder - SSGIND program
Customer,requested_callback_in,Mandarin
Customer,completes,two courses within the specified timeline
Customer,inquires_about,disbursement of the Workfare Skills Support Training Commitment Award
Specific issue,previously_identified_by,bank account number
Customer,requested_follow-up_on,specific issue
Customer,mentions,not IT savvy
Customer,seeks,reason for Absentee Payroll rejection
Colleague of customer,will_call_for,assistance
Customer,attempts_login_with,passport and FIN
Customer,redirected_by,NTU for assistance
Customer,unable_to_retrieve,2015 attainment from SkillsPassport on MySkillsFuture
Customer,inquiring_about,disbursement for SkillsFuture Enterprise Credit
Customer,mentions_previous_call_regarding,the same issue
Customer,continues_to_receive,reminder letters
Customer,makes_payment_to,Skills Development Fund via GIRO
Customer,seeks_to_provide,payment proof via email
Customer,requests,extended timeline for Skills Development Levy payment
Employer,claims_payment_made_via,bank transfer in October
Employer,lacks,OCBC Reference Number
Employer,received,reminder for outstanding Skills Development Levy payment
Customer,requests_acknowledgement_from,the relevant division
Customer,cited,case reference ID in payment remarks
Customer,had_paid,despite receiving reminder
Customer,misplaced,Notice of Assessment
Customer,seeks_confirmation_of,PayNow payment details for Skills Development Levy 2023
Customer,confirms_payment_made_via,bank transfer
Letter of demand,received_after,payment made
Customer,requests,acknowledgement of payment
Customer,requests_withdrawal_of,letter of demand
Customer,inquires_about_receipt_of,Skills Development Levy payment for Jan 2022 - Dec 2022
Payment,made_via,PayNow
Company,made,payment for Skills Development Levy
Company,received,letter stating non-payment of Skills Development Levy
Company,seeks,clarification and resolution
Food Safety Course Level 1,related_to,SkillsFuture Singapore
Customer,questions,accuracy of outstanding payment reminder
Customer,received_reminder_for,outstanding Skills Development Levy payment for 2022
Customer,seeks_information_on,payment methods
Customer,seeks_information_on,viewing the Notice of Assessment
Customer,inquires_about,continued receipt of the reminder
Customer,facing_issues_with,"downloading, filling, and uploading the required form"
Customer,seeks_assistance_to_submit,Notice of Objection for Skills Development Levy YA2023
Request,for,SkillsFuture Singapore to investigate and correct the attendance calculation
Trainee's digital attendance,not_recorded_correctly_for,Data Analytics course on April 8
Customer,inquires_about,approval time for SkillsFuture Credit claims after submission
Payment,confirmed_by,bank
Customer,received,letter claiming non-payment
Computation of attendance,conducted_through,Training Provider Gateway
Customer,inquired_about,computation of attendance for asynchronous e-learning sessions
E-certificate file,disappears_after,attempting to access
Customer,requests_assistance_for,downloading E-certificate
Customer,unable_to_download,"E-certificate for ""Recognize Terrorist Threats"" security course"
Customer,inquired_about,bank payment details
Customer,reports_issue_with,video coaching session ending unexpectedly
Customer,seeks,explanation for video coaching session issue
Customer,inquired_about,submission process for the Small and Medium Enterprises declaration
Submission process,related_to,Enterprise Jobs and Skills Portal
Food hygiene courses,conducted_by,spouse's previous employers
Customer,seeks_assistance_in,verifying the validity of food hygiene courses
Food hygiene courses,taken_in,2016 and 2019
Customer,confirmed,payment completion
Customer,requested_acknowledgement_for,payments made on two separate dates via bank transfer
Customer,received_notice_for,outstanding payment
Customer,advised_to_contact,WDA and SkillsFuture heads
Contact details,not_provided_to,Customer
Customer,unable_to_enroll_in,WPLN and Refresher Safety Coordinator courses
Payment method,is,online
Institute of Banking and Finance,disallows,SkillsFuture credits for FTS courses
Precepts Academy,seeks_clarification_on,using credits for upcoming courses despite disallowance
Customer,expresses_difficulties_in,understanding the content of notification
Customer,inquired_about,notification for driving license renewal
Customer,received,payment reminder for Skills Development Levy 2023
Customer,requests_confirmation_of,payment receipt by the Finance team
Customer,inquired_about,payment modes
Customer,received_reminder_for,payment of Skills Development Levy for YA2023
Customer,requested,PayNow ID
Notice of Objection,contrary_to,instruction manual's guidelines
Skills Development Levy payable,not_rounded_down_in,Notice of Objection
Customer,queries,reason for Skills Development Levy payable not being rounded down in the Notice of Objection
Verification request,follows,reminder notice
Customer,requests_verification_of,payment receipt
Customer,is_verifying,Skills Development Levy payment status
Customer,received,reminder notice
Payment method,was,PayNow
Customer,inquired_about,Career Conversation Programme
Career Conversation Programme,through,Workforce Singapore
Reimbursement,advised_by,training provider
Customer,inquires_about,reimbursement of course fees
Course fees,paid_via,credit card
Reimbursement,using,SkillsFuture Credits
Customer,had_paid,despite receiving Notice of Assessment reminder
Customer,inquired_about,confirming receipt of payment
Payment,made_to,SkillsFuture Singapore
Payment,made_via,PayNow/Bank Transfer
Payment,to,SkillsFuture Singapore
Customer,received,Notice of Assessment reminder despite making payment
Customer,seeks_confirmation_on,payment receipt by SkillsFuture Singapore
Customer,wants_to_know,how to verify payment receipt
Customer,made_payment_for,Skills Development Levy YA2023 after the first notice
Customer,received,reminder for the Skills Development Levy YA2023
Customer,has_paid,online
Customer,reports_receiving,an outstanding payment notice for Skills Development Levy 2023
Customer,received_mail_claiming,non-payment
Customer,reports_discrepancy_after,making payment for Skills Development Levy for 2022
Customer,inquires_about,location and dates of employer McDonald presence
Employer McDonald,will_be_present_at,CCOTG in Whampoa and Teck Whye
Course Application,for,Institute of Banking and Finance program
Customer,intends_to_change,course fee
Customer,unable_to_edit,course details under the Course Application
Customer,provides,proof of payment
Customer,received,reminder for Skills Development Levy 2023
Customer,requests_update_of,payment status
Customer,received,second payment request for Skills Development Levy 2023
Customer,seeks_advice_due_to,conflicting communications
Afifah,has_role,overall in charge
Customer,urgently_requests_contact_from,Afifah
General inquiry,regards,Skills Development Levy 2023 Notice of Assessment
Customer contact details,input_on,mobile
Input,is_correct_according_to,Customer
System,not_accepting,customer contact details
Customer,unable_to_proceed_with,Career Conversion Programme application for Associate Software Engineer
Customer,paid_via,bank transfer
Customer,seeks_confirmation_of,successful payment processing
Customer,facing_issues_with,unsuitable system presets for course and service provider selection
Customer,seeks_assistance_in,claiming SkillsFuture credits for CFA Level 3 exam fees
Customer,provides_company_name,Genesis Architects
Customer,provides_contact_details,not specified
Customer,requests_callback_from,Customer Service Officer
Customer,follows_up_on,Career Trial application status
Customer,has_not_received,response yet
Customer,previously_informed,response time of 6-8 weeks
Customer,notes,monthly contributions through Central Provident Fund
Regular payments,exclude,foreign workers
Customer,inquires,reason for reminder
Customer,received,reminder despite payment
Customer,was_unaware_of,exclusion of foreign workers from regular payments
Customer,inquires_about,payment receipt for Skills Development Levy
Customer,receives,payment reminder letter
Customer,inquires_about,ID uniqueness
Error message,states,"""The outcome submission ID needs to be updated."""
Customer,unable_to_submit_claims_for,SkillsFuture Career Transition Programmes
Request for explanation,includes_specific_details,participant name
Specific details,requested_from,SGH HR's Learning & Career Development Department
Requester,requests_explanation_for,rejection of a grant
Customer,has,bank transfer proof
Customer,received,notice requesting payment again
Discrepancy,affects,payment calculations
Enquiry,concerns,rounding numbers in the Skills Development Levy objection template
Discrepancy,exists_in,rounding formulas between manual and template
Customer,makes_enquiry_regarding,Skills Development Levy 2023 payment status
Payment,status_is,already made
Company,paid,Skills Development Levy
Company,received,notice again
Company,requests_update_on,payment status
Company,seeks,contact information for further correspondence
Calculator QR code,is_not_working_on,the invoice
Director,receives,another invoice
Director,reports_payment_for,Skills Development Levy 2023
Director,requests_confirmation_of,payment receipt
Customer,reports_continued_receipt_of,Notice of Assessment
Customer,requests_assistance_to_resolve,issue of continued receipt of Notice of Assessment
Skills Development Levy,settled_via,PayNow
Company,received,letter claiming non-payment
Company,reports_payment_of,Skills Development Levy
Company,requests_confirmation_and_correction_of,payment status
Customer,has_already,paid
Customer,provides,transaction details for verification
Customer,reports_receiving,reminder notice for Skills Development Levy 2023
Customer,requests,urgent advice
Issue,involves,contact details
Issue,lacks,specific problem description
Career Builder issue,related_to,SkillsFuture Singapore for an individual
Customer,inquired_about,course grants
Company,sending_employee_to,courses
Customer,queries_impact_of,inability to take e-attendance on course participation
Customer,seeks_intervention_with,course administrator
Customer,unable_to_take,e-attendance via SingPass
Customer,inquired_about,rollout timeline for new initiatives
New initiatives,under,SMCP
Customer,reports_issue_with,one trainee unable to scan QR code for attendance
Customer,seeks_guidance_if_issue_persists,until session end
QR code scanning,uses,SingPass app
Payment,includes,case reference ID in payment remarks
Customer,paid_via,Corporate PayNow with case reference ID in payment remarks
Customer,reported_issue_with,accessing link for scheduled Coaching (Video) appointment
Customer,resolved_issue,while speaking to the Customer Service Officer
Subsequent notice,received_after,Payment for Skills Development Levy 2023
Customer,requests_clarification_on,issue related to subsequent notice
Customer,not_attended,the course associated with RAQOM
Customer,received,survey emails
Specific course,has,five modules
Customer,inquires_about,SkillsFuture Credit claims
Customer,inquires_about_additional_benefits_as,Workfare Skills Support recipient
Customer,inquires_about_use_for,courses
Customer inquiry,includes_details_on,expiry dates
Customer inquiry,includes_details_on,potential future top-ups
Customer,inquires_about,using SkillsFuture Credits for course registration
Customer,attempts_resetting,password
Customer's password,is,locked
Customer,receives_no,email for password reset confirmation
Customer,already_paid,Skills Development Levy as per previous instructions
Customer,received,reminder to pay the Skills Development Levy
Rejection email,for,Food Safety Course
Customer,inquires_about,what is missing for organization registration
Customer,received,rejection email for absentee payroll grants
Customer,seeks_clarification_on,avoiding future rejections
Individual,makes_inquiry_about,applying for a work permit at ITE
Overlooked enrolment,due_to,admin staff's medical condition during a course run
Appeal,for,overlooked enrolment
Appeal,requests_consideration_for,grant eligibility despite missed enrolment
Customer,received_follow-up_letter_stating,payment was not received
Company,claims_payment_already_made_for,Skills Development Levy
Company,inquired_about,reminder for Skills Development Levy payment
Company,requested_verification_and_response,via email
Customer,attended,all online classes for the Avado Skills Ignition SG Digital Marketing Training Programme
Customer,inquires_reason_for,SkillsFuture Credits claim rejection
SkillsFuture Credits claim,was_rejected_despite,attending all online classes
Customer,requests,certificate for the recently completed TikTok course
Customer's SkillsFuture Credits claim,failed_due_to,payment issue with Republic Polytechnic
Customer,has,available credit
Customer,confirms_payment_made,prior to the date on the notice
Customer,references,notice of assessment for Skills Development Levy 2023
Interview scheduling,for,job vacancy
Inquirer,makes_inquiry_about,interview scheduling
Job vacancy,offered_by,employer M/s <PERSON>
Customer,confirms_payment_of,outstanding Skills Development Levy before receiving a reminder
Company,confirms,payment was made
Company,received_notice_for,outstanding Skills Development Levy payment
Company,requests,rechecking of records
User,received_error_message_when,logging onto the Enterprise Jobs and Skills Portal
Customer,finds,navigation not user-friendly
Customer,unable_to_locate,favorited courses and profile icon in the user interface
Customer,shared_plan_for,Risk Management Implementation via synchronous e-learning
Absentee Payroll claim,was_rejected_by,SkillsFuture Singapore
Manual attendance uploads,despite,mandate for SingPass e-attendance
Customer,seeks_confirmation_on,continuing manual attendance uploads for classroom training and e-learning post-28 Oct
Payment,for,Skills Development Levy YA2023
Customer,made_payment_through,bank transfer
Customer,received,reminder letter for the Skills Development Levy YA2023
Customer,requests,Notice of Assessment
Customer,requests_confirmation_of,the transaction
Customer,used,personal Singpass for Corporate login issues
Courses for Beauty Forever Learning Hub,missing_from,TP Gateway Portal
Missing courses,prevent,updates to training and assessment sessions for students
Beauty Forever Learning Hub,requests,immediate assistance
Query,involves,specific work operations and locations
Outstanding amount,attributed_to,late E-Pass cancellation
Customer,objects_to,Skills Development Levy assessment
Customer,seeks_clarification_on,proper cancellation timeline
Customer,received,second reminder letter for Skills Development Levy outstanding amount
Second reminder letter,received_despite,submission of Notice of Objection
Customer,claims_overpayment_made_via,CPFB platform
Customer,disputes,Skills Development Levy Notice of Assessment for 2022
Notice of Assessment,states,no payment was received
Training Allowance,for_completed_course,security duties course
Security duties course,under,Workfare Skills Support program
Customer,confirmed_payment_via,PayNow on the specified date
Skills Development Levy for YA2023,status,already paid
Employer,made_payment_via,PayNow
Employer,received,payment reminder for the Skills Development Levy
Employer,requests,confirmation of payment receipt
Customer,made_payment_for,Skills Development Levy of 2022
Customer,received,second reminder letter for the Skills Development Levy of 2022
Second reminder letter,received_despite,payment made
Customer,informed_of,payment restrictions
Customer,inquired_about,refunding a Skills Development Levy payment
Skills Development Levy payment,made_via,GIRO through Central Provident Fund
Customer,attended,five security courses since August
Customer,inquired_about,next SkillsFuture Credits top-up
Customer,inquired_about_eligibility_for,Workfare Skills Support for 2023
Customer,did_not_receive,initial Skills Development Levy payment letter
Customer,disputes,outstanding amount of Skills Development Levy
Customer,queries_about,levy applicability for internships
Customer,completes,course
Customer,inquires_about,eligibility for a monetary award
Course,paid_with,SkillsFuture Credit
Customer,confirms_payment_method,via cheque
Customer,inquires_about,calculation of the Skills Development Levy amount stated in the outstanding letter
Outstanding Skills Development Levy,for_year,2022
Customer,inquires_about,offsetting outstanding Skills Development Levy with overpayment
Overpayment,made_in,May and September 2022
Customer,experiences,login issues due to invalid permission
Customer,inquires_about,submitting organization registration
Customer,inquires_about,course accreditation
Customer,inquires_about,submitting applications under a different training provider
GIM TAI CONSTRUCTION PTE. LTD.,confirms_payment_of,Skills Development Levy 2023 via PayNow
GIM TAI CONSTRUCTION PTE. LTD.,requests_acknowledgment_of,the transaction to avoid reminder notices
Employer,claims_payment_made_via,PayNow on the specified date
Employer,claims_payment_made_via,PayNow
Payment,made_on,specified date
Customer,inquires_about,employer-sponsored courses
Customer,inquires_about,application for funding
Customer,inquires_about_eligibility_for,bosses/directors
Customer,inquires_about_sending_employees_to,multiple courses
Customer,claims_balance_of,S$95 after payments
Customer,disputes,outstanding Skills Development Levy amount for 2022
Customer,lodges,notice of objection
Customer,requests,verification and update
Lack of access,affects,about 300 courses
Customer,inquires_about,alternative ways for trainers to obtain QR codes for e-attendance submission
Trainers,lack_access_in,Training Partners Gateway
Customer,made,full payment
Customer,received,reminder letter stating no payment received
Customer,requests_urgent_contact_to,resolve payment issue
Customer,unable_to_reconcile,under-paid Skills Development Levy
Customer,mentioned,payments made for specified periods
Customer,submitted,Notice of Objection for Skills Development Levy with errors and blank fields
Update of registered address,aims_to_prevent,misdirected mail
Update of registered address,ensures,timely responses
New address,is_provided_for,update
Request,to_update,registered address
Customer,contacted_support,while driving
Course,has_commenced,at time of contact
Customer,inquired_about,E-Attendance with Singpass
Customer,reported,not receiving the QR Code
Issues,on,Enterprise Jobs and Skills Portal
Customer,received_notifications_about,rejected Absentee Payroll grant
Customer,reports_issues_with,declaring for an Occupational First Aid Refresher Course
Customer,inquires_about,eligibility criteria for the Career Conversion Programme for registered nurses
Customer,questions_impact_of,expiring Singapore Nursing Board registration on their application
Payments,made_for,all employees through Central Provident Fund ezpay
Customer,questions,derived amount
Customer,confirms_payment_made_via,PayNow for GEPS PTE. LTD.
Customer,received_reminder_for,Skills Development Levy payment
HR Manager from Elitez Group,follows_up_on,status of an overpaid Skills Development Levy claim for August 2022
HR Manager from Elitez Group,requests,refund processing details
Customer,receives,payment reminder
Customer,has_paid_for,Skills Development Levy YA2023
Customer,received_reminder_for,Skills Development Levy YA2023
Customer,seeks_information_on,making payments for the current and future years
Overpayment,from,the previous year
Employer,inquires_about,refund procedures for overpayment
Employer,received_notice_for,Skills Development Levy outstanding payment
Inquiry,concerns_creation_of,partner program involving a workshop seminar
Partner program,involves_collaboration_with,Workforce Singapore and SkillsFuture Singapore
Customer,provides_for_reference,payment slip
Customer,received,reminder letter for Skills Development Levy 2023
Funding,granted_to,an ineligible company
Customer,inquired_about_status_of,Enhanced Training Support for SMEs funding
Appointment,original_schedule,early November
Customer,requested_to_reschedule,her appointment
Appointment,rescheduled_to,mid-November
Skills Development Levy,mistakenly_paid_with,foreign worker levy and CPF contribution
Customer,requests_refund_for,Skills Development Levy
Customer,made_payment_via,DBS Internet Fast Paynow Transfer
Customer,received,reminder about the Skills Development Levy 2023
Customer,requests,payment confirmation
Jobseeker,concerned_about,training allowance forfeiture
Jobseeker,concerned_about,job commitment expectations
Jobseeker,inquires_about,implications of accepting part-time or ad-hoc jobs during Workforce Singapore Career Trial
Employer,claims,payment was already made via bank transfer
Reimbursement for payment in lieu of notice,inquiry_about_subject_to,Skills Development Levy
Reimbursement for payment in lieu of notice,not_subject_to,Central Provident Fund contributions
Non-payment notices,being_received_despite,payment
Customer,requests_to,verify and resolve the issue
Payment method,is,PayNow
Customer,received,reminder for the Skills Development Levy
Customer,seeks_clarification_on,reminder after payment
Customer,inquires_reason_for,trainee ineligibility for Mid-Career Enhanced Subsidy Grant
Trainee ineligibility,pertains_to,specific course run
Customer,inquires_about,possibility of submitting a SkillsFuture Credits claim after the course start date
Employer,inquired_about,payment methods
Employer,received_notice_for,outstanding Skills Development Levy payment for foreign staff
Payment,for,Skills Development Levy 2023 Notice of Assessment
Customer,made_payment_for,Skills Development Levy 2023 Notice of Assessment via bank transfer
Customer,received,reminder about the Skills Development Levy 2023 Notice of Assessment
Customer,during,application process
Customer,requests_assistance_for,selecting course during application
Customer,unable_to_find_and_select,HCE Workplace Safety and Health course in the dropdown menu
Customer,inquires_about,creating and managing assessment and make-up sessions in the Training Provider Gateway
Customer,inquires_about,session requirements
Customer,inquires_about,trainee attendance scanning
Customer,inquires_about,Notice of Assessment for an outstanding Skills Development Levy
Customer,questions_levy_based_on,salary from her mom's business
Customer,aims_to_avoid,future issues
Customer,inquires_reason_for,reminder for Skills Development Levy issuance
Payment,made_via,DBS Paynow
Customer,seeks_confirmation_of,payment receipt
Customer,inquired_about,email notifications regarding the rejection of their Absentee Payroll grant
Absentee Payroll grant,rejected_from,Enterprise Jobs and Skills Portal
Payment status,is,already completed
Customer,made_payment_via,PayNow
Mr. <PERSON>,associated_with,METAL-TEAM ENGINEERING PTE. LTD.
SkillsFuture Singapore EMP case,involves,Mr. <PERSON>
SkillsFuture Singapore EMP case,involves,TAGR PTE. LTD.
SkillsFuture Singapore EMP case,relates_to,specific year assessment
Company,arranged_payment_for,Skills Development Levy
Company,received_letter_for,outstanding payment
Company,requests_verification_of,payment status
Employer,inquires_about,outstanding Skills Development Levy for 2022
Employer,states_payment_made_for,the previous year
Payment inquiry,made_via,PayNow
Customer,makes_payment_inquiry_for,Skills Development Levy from January 2022 to May 2023
Customer,seeks,confirmation or details regarding the transaction
Customer,inquired_about,outstanding Skills Development Levy amount
Notice of Assessment reminder,linked_to,2021 Organisation Registration
Skills Development Levy amount,stated_in,Notice of Assessment reminder for the year 2022
Mandarin-speaking customer,questions,figures in the Skills Development Levy Notice of Assessment
Customer,seeks,objection guidance
Customer,states,monthly payments were made via CPF EZPay
Payment,is_for,Skills Development Levy
Mandarin-speaking customer,made_payment_via,PayNow
Mandarin-speaking customer,received,Skills Development Levy reminder
Customer from AEDGE SERVICES PTE. LTD.,advised,submitted Notice of Objection for Skills Development Levy 2023 contains empty columns
Notice of Objection,contains,empty columns
Notice of Objection for Skills Development Levy 2023,evaluated_by,SkillsFuture in-charge
Company,had_made_payment_for,Skills Development Levy YA2023 earlier in the year
Company,received,payment reminder for Skills Development Levy YA2023
Husband,contributes_to,Central Provident Fund monthly
Husband,has_business_with,a helper
Customer,inquires_about,outstanding Skills Development Levy payment notice
Payment notice,received_by,her husband
E-Attendance tile status,causes,inconvenience
Upload of attendance,for,foreign trainees without Singpass
Upload of attendance,in,Training Management System
E-Attendance tile,is_locked,preventing upload of attendance
Customer,inquired_about,application procedure for the Career Conversion Programme for Registered Nurses (Diploma) in Healthcare
Customer,queries_about,payment obligation
Customer,queries_reason_for,receiving notice for outstanding Skills Development Levy payment for 2022
Customer,states,Central Provident Fund calculations tally
Customer,advised_to_use,organization's corppass ID for resolution
Customer,received,outstanding payment notice for Skills Development Levy
Customer,contacted_from,a phone number
Customer,was,unresponsive
Company-sponsored trainee,did_not_receive,expected enhanced training support grant for Small and Medium Enterprises
Company-sponsored trainee,requesting,resolution
Customer,inquired_about,"e-Certification for Capability Development, Security Operation Compliance, and Guard and Patrol courses"
Customer,encountered_error_with,generating SingPass e-attendance QR codes
Manual upload function,removal_of,leads to seeking alternatives
Customer,seeks,alternative methods for submitting e-attendance
Customer,considers_operating_as,private training provider
Customer,inquires_about_offering,flower arrangement course
Customer,questions_registration_requirement_as,Private Education Institution
Customer,cites_reasons_for_cancellation,age and inability to drive
Customer in late 70s,seeks_assistance_to,cancel his driving license
Customer,paid,Skills Development Levy for YA2023
Customer,queries,reason for reminder post-payment
Customer,received_letter_stating,payment not received
Customer,received,outstanding payment notice
Customer from Gethsemane Bible Witness Limited,reports,payment discrepancy for Skills Development Levy
Customer,seeks_verification_of,payment receipt
Customer,already_paid,outstanding amount for 2022
Customer,received,second reminder letter for the Skills Development Levy YA2023
Student,failed_to_scan,e-attendance using Singpass
Failure,is_repeated,TRUE
Customer,inquires_eligibility_of,Master of Science in Supply Chain Management at NUS
Master of Science in Supply Chain Management at NUS,potential_eligibility_for,SkillsFuture Mid-Career Enhanced Subsidy
Employer,received,reminder for Skills Development Levy payment
Employer,reported_payment,already made via PayNow
Customer,unsure_about,correct remarks in bank transfer
Customer,attended,only one course at BELLS Institute of Higher Learning Pte. Ltd.
Customer,received,the same survey four times
KKKL Travel & Tours,makes_inquiry_about,Skills Development Levy 2023 payment
KKKL Travel & Tours,requests_attention_to,attached payment advice
Customer,inquires_about,duration of a specific course
Customer,is_interested_in,specific course
Reminder notice,is_for,outstanding Skills Development Levy payment for 2022
Customer,received,reminder notice for Skills Development Levy payment for 2022
Customer,reports,making outstanding Skills Development Levy payment for 2022
Customer,cites,discrepancies and overpayment in 2022 records
Customer,disputes,Skills Development Levy amount claimed
Clarification request,has_deadline,before a specified date
Customer,requests_clarification_on,the assessment process
Career Advisory appointment,for,her son
Customer,inquired_about,booking a Career Advisory appointment
Customer,received,payment reminder afterwards
Customer,requests_verification_and_update_on,payment status
Customer,mentions_contributions_for,foreign employees
Customer,notes_discrepancy_with,payroll records
Customer,queries,Skills Development Levy outstanding amount calculation
Customer,requests,breakdown of Skills Development Levy outstanding amount
Customer,reports_receiving,reminder for Skills Development Levy
Customer,requests_confirmation_of,payment receipt for BELLA LUNA MARKETING PTE LTD
Customer,notes,outsourcing company has records of payment for employees
Customer,questions,derived amount in the Skills Development Levy outstanding letter
Customer,received,reminder today
Notice of Objection,regards,Skills Development Levy 2023
Customer,urgently_requests,addressal of Notice of Objection
Inquirer,asks_about,study possibility for long-term visit pass holder
Inquirer,asks_if,Edutrust certificate is required for admission
Study possibility,includes,full-time or part-time at a private institute
Skills Development Levy payment,claimed_made_through,DBS bank before the notice date
Customer,inquires_about,outstanding Skills Development Levy payment
Customer,requests_confirmation_of,payment status
Total remuneration,for_purpose_of,calculating monthly Skills Development Levy for a retired employee
Customer,inquires_about_inclusion_in,total remuneration for calculating monthly Skills Development Levy
Total remuneration,potential_inclusion_of,Goodwill money
Total remuneration,potential_inclusion_of,Retirement Gratuity
New company owner,lacks,CorpPass for company access
